sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
SP;CAMPINAS;Prefeito;22;RAFAEL FERNANDO ZIMBALDI;PL;SOLIDARIEDADE / PSC / PP / PSDB / PROS / PL / PODE / AVANTE;2;Não eleito;SUDESTE;166995
SP;DIADEMA;Prefeito;13;JOSÉ DE FILIPPI JÚNIOR;PT;SOLIDARIEDADE / PL / PT / AVANTE / PATRIOTA;2;Eleito;SUDESTE;106849
SP;DIADEMA;Prefeito;55;TAKAHARU YAMAUCHI;PSD;PTB / PSD / REDE / MDB;2;Não eleito;SUDESTE;101231
SP;FRANCA;Prefeito;15;ALEXANDRE AUGUSTO FERREIRA;MDB;MDB / PSC / PRTB / PMN / AVANTE / PATRIOTA / SOLIDARIEDADE;2;Eleito;SUDESTE;76339
SP;FRANCA;Prefeito;55;FLÁVIA OLIVITO LANCHA ALVES DE OLIVEIRA;PSD;PSD / PSB;2;Não eleito;SUDESTE;56151
SP;GUARULHOS;Prefeito;13;ELÓI ALFREDO PIETÁ;PT;PT / REDE / SOLIDARIEDADE;2;Não eleito;SUDESTE;238463
SP;GUARULHOS;Prefeito;55;GUSTAVO HENRIC COSTA;PSD;CIDADANIA / REPUBLICANOS / MDB / PODE / PSC / PTC / PSB / PSD / PATRIOTA;2;Eleito;SUDESTE;327022
SP;LIMEIRA;Prefeito;19;MURILO BERBERT AVIGO FELIX;PODE;AVANTE / PODE / PSL / PDT;2;Não eleito;SUDESTE;60056
SP;LIMEIRA;Prefeito;55;MARIO CELSO BOTION;PSD;PSD / PL / PSC / PV / PROS / PMB;2;Eleito;SUDESTE;73042
SP;MAUÁ;Prefeito;13;FRANCISCO MARCELO DE OLIVEIRA;PT;PT;2;Eleito;SUDESTE;91459
SP;MAUÁ;Prefeito;40;ATILA CESAR MONTEIRO JACOMUSSI;PSB;PL / PATRIOTA / PC do B / PSB / AVANTE / SOLIDARIEDADE;2;Não eleito;SUDESTE;88783
SP;MOGI DAS CRUZES;Prefeito;19;CAIO CÉSAR MACHADO DA CUNHA;PODE;PTB / PODE / SOLIDARIEDADE;2;Eleito;SUDESTE;114656
SP;MOGI DAS CRUZES;Prefeito;45;MARCUS VINICIUS DE ALMEIDA E MELO;PSDB;PSL / PV / DEM / PSDB / MDB / REPUBLICANOS / PP / AVANTE / PSB / PC do B / PL / REDE / PSC / CIDADANIA / PSD;2;Não eleito;SUDESTE;81714
SP;PIRACICABA;Prefeito;25;LUCIANO SANTOS TAVARES DE ALMEIDA;DEM;DEM;2;Eleito;SUDESTE;85081
SP;PRAIA GRANDE;Prefeito;17;DANILO MARCO MORGADO SILVA;PSL;PSC / PSL;2;Não eleito;SUDESTE;65780
SP;PRAIA GRANDE;Prefeito;45;RAQUEL AUXILIADORA CHINI;PSDB;PSDB / MDB / CIDADANIA / DEM / SOLIDARIEDADE / PTB / PMB;2;Eleito;SUDESTE;75739
SP;RIBEIRÃO PRETO;Prefeito;40;SUELY VILELA;PSB;PSD / PODE / SOLIDARIEDADE / PSB / CIDADANIA;2;Não eleito;SUDESTE;90065
